Name;Rank;Level;Class;Race;Sex;Last Online (Days);Main/Alt;Player Alts;Join Date;Promo Date;Rank History;Birthday;Public Note;Officer Note;Custom Note;Faction
Aqdonna;Altling;60;Warlock;Human;Female;0.63;Alt;Dracobanko-WildGrowth,Dracobook-WildGrowth,Dracoclone-WildGrowth,Dracodraco-WildGrowth,Dracoheal-WildGrowth,Dracoherb-WildGrowth,Dracohunter-WildGrowth,Dracolight-WildGrowth,Dracolóck-WildGrowth,Dracomage-WildGrowth,Dracomagic-WildGrowth,Dracomine-WildGrowth,Draconaderix-WildGrowth,Draconature-WildGrowth(main),Draconaz-WildGrowth,Draconette-WildGrowth,Draconisse-WildGrowth,Dracorogue-WildGrowth,Dracosilver-WildGrowth,Dracosmash-WildGrowth,Dracostar-WildGrowth,Monkeybutler-WildGrowth,Zgstella-WildGrowth;11 Apr '26;01 May '26;Altling: 01 May '26,Imp: 11 Apr '26;;Draco, Your ad could be here!;Joined: 11 Apr '26 ;;Alliance
Aqsan;Altling;25;Warlock;Human;Female;15;Alt;Minnìva-WildGrowth,Nightwìng-WildGrowth,Robinjr-WildGrowth,Robins-WildGrowth,Robìn-WildGrowth(main),Robìnfarm-WildGrowth;27 Nov '25;27 Nov '25;Altling: 27 Nov '25,Imp: 27 Nov '25;;Robin;Joined: 27 Nov '25;;Alliance
Arconteg;Altling;25;Paladin;Human;Male;0.46;Alt;Arkcorn-WildGrowth,Bearlins-WildGrowth,Bladecorn-WildGrowth,Dastyrlock-WildGrowth,Elkho-WildGrowth,Gnorumbras-WildGrowth,Resticlothy-WildGrowth,Spycorn-WildGrowth(main),Tankone-WildGrowth;28 Jun '26;13 Jul '26;Altling: 13 Jul '26,Imp: 28 Jun '26;;spycorn twink [Alc]121/[BS]106;Joined: 28 Jun '26 ;;Alliance
Ardrisius;Imp;32;Hunter;Night Elf;Male;44;;;13 May '26;13 May '26;Imp: 13 May '26;; [LW]69/[Skin]212main;Joined: 13 May '26 ;;Alliance
Arinala;Altling;60;Warlock;Human;Female;0.46;;;30 May '26;30 May '26;Altling: 30 May '26,Imp: 30 May '26;;Georgie/Destrella [Herb]107;Joined: 30 May '26 ;;Alliance
Arkcorn;Imp;19;Hunter;Night Elf;Male;9;Alt;Arconteg-WildGrowth,Bearlins-WildGrowth,Bladecorn-WildGrowth,Dastyrlock-WildGrowth,Elkho-WildGrowth,Gnorumbras-WildGrowth,Resticlothy-WildGrowth,Spycorn-WildGrowth(main),Tankone-WildGrowth;15 Jul '26;15 Jul '26;Imp: 15 Jul '26;;spycorn;Joined: 15 Jul '26 ;;Alliance
Arysora;Altling;60;Priest;Human;Female;0.67;Alt;Bamryso-WildGrowth,Dalyzia-WildGrowth,Halory-WildGrowth,Mipy-WildGrowth(main),Zalysa-WildGrowth;26 Mar '26;09 Apr '26;Altling: 09 Apr '26,Imp: 26 Mar '26;;Mipy                           ;Joined: 26 Mar '26 ;;Alliance
Ashavedd;Imp;60;Mage;Gnome;Male;84;;;04 Mar '26;04 Mar '26;Imp: 04 Mar '26;; [Herb]300/[Alc]280;Joined: 04 Mar '26 ;;Alliance
Ashkandia;Fel Reaver;60;Paladin;Human;Female;152;Main;Moistspot-WildGrowth;08 Feb '26;01 Mar '26;Fel Reaver: 01 Mar '26,Imp: 08 Feb '26;;Tomas Friend of Toe;Joined: 08 Feb '26 ;;Alliance
Askariana;Arch Fiendling;60;Paladin;Human;Female;0.04;Alt;Akariana-WildGrowth,Aneliana-WildGrowth,Astelia-WildGrowth,Ineffa-WildGrowth,Nelle-WildGrowth,Thelisia-WildGrowth,Vinelia-WildGrowth,Wiella-WildGrowth(main);02 Jan '26;05 Mar '26;Arch Fiendling: 05 Mar '26,Altling: 06 Jan '26,Imp: 02 Jan '26;;Wiella [Mine]271/[Ench]300;Joined: 02 Jan '26;;Alliance
Astelia;Arch Fiendling;60;Hunter;Night Elf;Female;0.02;Alt;Akariana-WildGrowth,Aneliana-WildGrowth,Askariana-WildGrowth,Ineffa-WildGrowth,Nelle-WildGrowth,Thelisia-WildGrowth,Vinelia-WildGrowth,Wiella-WildGrowth(main);09 May '26;09 May '26;Arch Fiendling: 09 May '26,Imp: 09 May '26;;Wiella [Eng]/[Ench]300;Joined: 09 May '26 ;;Alliance
Atka;Imp;60;Priest;Night Elf;Male;151;Main;Atkka-WildGrowth;03 Jan '26;03 Jan '26;Imp: 03 Jan '26;;main [Alc]/[Herb]300;Joined: 03 Jan '26;;Alliance
Atkka;Altling;51;Mage;Gnome;Male;151;Alt;Atka-WildGrowth(main);28 Jan '26;28 Jan '26;Altling: 28 Jan '26,Imp: 27 Jan '26;;Atka doing abracadabra :);Joined: 28 Jan '26;;Alliance
Atlex;Altling;60;Rogue;Night Elf;Female;3;Alt;Lazard-WildGrowth(main),Solarisone-WildGrowth;14 Jul '26;17 Jul '26;Altling: 17 Jul '26,Imp: 14 Jul '26;;Lazard [Eng]101/[Mine]84;Joined: 14 Jul '26 ;;Alliance
Auctionhouse;Imp;1;Priest;Human;Female;12;;;21 May '26;21 May '26;Imp: 21 May '26;;ChickenManagement;Joined: 21 May '26 ;;Alliance
Aurlan;Altling;60;Druid;Night Elf;Female;0.79;Alt;Orangebeard-WildGrowth,Speedstar-WildGrowth,Valiance-WildGrowth(main);21 May '26;11 Jul '26;Altling: 11 Jul '26,Imp: 21 May '26;;Valiance;Joined: 21 May '26 ;;Alliance
Auslag;Altling;60;Mage;Human;Female;3;Alt;Angebode-WildGrowth,Bedem-WildGrowth,Beeowulf-WildGrowth,Brunhiilde-WildGrowth,Grimmnok-WildGrowth,Heahmòund-WildGrowth,Heahmùnd-WildGrowth,Impurrfect-WildGrowth,Laclau-WildGrowth(main),Shortcomings-WildGrowth,Shortcumming-WildGrowth;11 Jan '26;16 Jan '26;Altling: 16 Jan '26,Imp: 11 Jan '26;;Laclau alt [Alc]289/[Ench]300;Joined: 11 Jan '26;;Alliance
Avelira;Altling;60;Warrior;Human;Female;0.54;Alt;Alynel-WildGrowth(main),Hunzi-WildGrowth,Talany-WildGrowth,Zimgar-WildGrowth;21 Mar '26;21 Mar '26;Altling: 21 Mar '26,Imp: 21 Mar '26;;Alynel Zi [Ench]123/[BS]300;Joined: 21 Mar '26 ;;Alliance
Azzazzeal;Fel Reaver;60;Priest;Human;Male;48;Main;Caity-WildGrowth,Crepuscul-WildGrowth;22 Nov '25;24 Nov '25;Fel Reaver: 24 Nov '25;;main [Ench]/[TL]300;Joined: 22 Nov '25;;Alliance
Aêghal;Fel Reaver;60;Hunter;Night Elf;Female;49;Main;Aëgh-WildGrowth;12 Apr '26;28 Apr '26;Fel Reaver: 28 Apr '26,Imp: 12 Apr '26;;main [Skin]300/[LW]282;Joined: 12 Apr '26 ;;Alliance
Aëgh;Altling;18;Warrior;Human;Female;102;Alt;Aêghal-WildGrowth(main);19 Apr '26;19 Apr '26;Altling: 19 Apr '26,Imp: 19 Apr '26;;Aêghal [Mine]69/[Eng]98;Joined: 19 Apr '26 ;;Alliance
Balten;Fel Reaver;60;Paladin;Human;Male;29;Main;;15 Jan '26;15 Jan '26;Fel Reaver: 15 Jan '26,Imp: 15 Jan '26;;main [Ench]60/[Eng]300;Joined: 15 Jan '26;;Alliance
Bamryso;Altling;60;Hunter;Dwarf;Male;4;Alt;Arysora-WildGrowth,Dalyzia-WildGrowth,Halory-WildGrowth,Mipy-WildGrowth(main),Zalysa-WildGrowth;16 Apr '26;16 Apr '26;Altling: 16 Apr '26,Imp: 16 Apr '26;;Mipy                           ;Joined: 16 Apr '26;;Alliance
Bananjonny;Imp;52;Rogue;Night Elf;Male;3;;;27 Jul '26;27 Jul '26;Imp: 27 Jul '26;; [Eng]102/[Mine]71;Joined: 27 Jul '26 ;;Alliance
Bangsista;Imp;60;Hunter;Night Elf;Female;34;;;26 Jun '26;26 Jun '26;Imp: 26 Jun '26;;;Joined: 26 Jun '26 ;;Alliance
Barritt;Altling;60;Warrior;Human;Female;0.02;Alt;Annot-WildGrowth,Ciannait-WildGrowth,Detract-WildGrowth,Lunett-WildGrowth,Nerrit-WildGrowth,Prudent-WildGrowth,Robbt-WildGrowth(main),Starlitt-WildGrowth,Truitt-WildGrowth;23 May '26;02 Jun '26;Altling: 02 Jun '26,Imp: 23 May '26;;Robbt [Mine]/[BS]300;Joined: 23 May '26 ;;Alliance
Barthdruid;Altling;3;Druid;Night Elf;Female;211;Alt;Barthlock-WildGrowth,Barthmage-WildGrowth,Barthpala-WildGrowth,Barthpriest-WildGrowth,Barthun-WildGrowth(main),Barthunter-WildGrowth,Dragonslock-WildGrowth,Silithuslock-WildGrowth;22 Nov '25;24 Nov '25;Altling: 24 Nov '25;;Barthun;Joined: 22 Nov '25;;Alliance
Barthlock;Altling;15;Warlock;Human;Female;234;Alt;Barthdruid-WildGrowth,Barthmage-WildGrowth,Barthpala-WildGrowth,Barthpriest-WildGrowth,Barthun-WildGrowth(main),Barthunter-WildGrowth,Dragonslock-WildGrowth,Silithuslock-WildGrowth;22 Nov '25;24 Nov '25;Altling: 24 Nov '25;;Barthun;Joined: 22 Nov '25;;Alliance
Barthmage;Altling;10;Mage;Human;Female;224;Alt;Barthdruid-WildGrowth,Barthlock-WildGrowth,Barthpala-WildGrowth,Barthpriest-WildGrowth,Barthun-WildGrowth(main),Barthunter-WildGrowth,Dragonslock-WildGrowth,Silithuslock-WildGrowth;22 Nov '25;24 Nov '25;Altling: 24 Nov '25;;Barthun;Joined: 22 Nov '25;;Alliance
Barthpala;Altling;60;Paladin;Human;Female;175;Alt;Barthdruid-WildGrowth,Barthlock-WildGrowth,Barthmage-WildGrowth,Barthpriest-WildGrowth,Barthun-WildGrowth(main),Barthunter-WildGrowth,Dragonslock-WildGrowth,Silithuslock-WildGrowth;21 Nov '25;24 Nov '25;Altling: 24 Nov '25;;Barthun;Joined: 21 Nov '25;;Alliance
Barthpriest;Altling;60;Priest;Night Elf;Female;210;Alt;Barthdruid-WildGrowth,Barthlock-WildGrowth,Barthmage-WildGrowth,Barthpala-WildGrowth,Barthun-WildGrowth(main),Barthunter-WildGrowth,Dragonslock-WildGrowth,Silithuslock-WildGrowth;22 Nov '25;24 Nov '25;Altling: 24 Nov '25;;Barthun;Joined: 22 Nov '25;;Alliance
Barthun;Fel Reaver;60;Warrior;Human;Female;174;Main;Barthdruid-WildGrowth,Barthlock-WildGrowth,Barthmage-WildGrowth,Barthpala-WildGrowth,Barthpriest-WildGrowth,Barthunter-WildGrowth,Dragonslock-WildGrowth,Silithuslock-WildGrowth;21 Nov '25;24 Nov '25;Fel Reaver: 24 Nov '25;;main [Herb]/[Skin]300;Joined: 21 Nov '25;;Alliance
Barthunter;Altling;4;Hunter;Night Elf;Male;211;Alt;Barthdruid-WildGrowth,Barthlock-WildGrowth,Barthmage-WildGrowth,Barthpala-WildGrowth,Barthpriest-WildGrowth,Barthun-WildGrowth(main),Dragonslock-WildGrowth,Silithuslock-WildGrowth;22 Nov '25;24 Nov '25;Altling: 24 Nov '25;;Barthun;Joined: 22 Nov '25;;Alliance
Basherboi;Imp;60;Paladin;Human;Male;35;;;10 Jun '26;10 Jun '26;Imp: 10 Jun '26;;Main - Holy;Joined: 10 Jun '26 ;;Alliance
Bearlins;Altling;44;Druid;Night Elf;Male;0.54;Alt;Arconteg-WildGrowth,Arkcorn-WildGrowth,Bladecorn-WildGrowth,Dastyrlock-WildGrowth,Elkho-WildGrowth,Gnorumbras-WildGrowth,Resticlothy-WildGrowth,Spycorn-WildGrowth(main),Tankone-WildGrowth;17 Dec '25;09 Mar '26;Altling: 09 Mar '26,Imp: 17 Dec '25;;Spycorn Cornwallis;Joined: 17 Dec '25;;Alliance
Bedem;Altling;60;Hunter;Dwarf;Male;3;Alt;Angebode-WildGrowth,Auslag-WildGrowth,Beeowulf-WildGrowth,Brunhiilde-WildGrowth,Grimmnok-WildGrowth,Heahmòund-WildGrowth,Heahmùnd-WildGrowth,Impurrfect-WildGrowth,Laclau-WildGrowth(main),Shortcomings-WildGrowth,Shortcumming-WildGrowth;04 Dec '25;05 Dec '25;Altling: 05 Dec '25,Imp: 04 Dec '25;;Laclau [Skin]/[LW]300;Joined: 04 Dec '25;;Alliance
Beeowulf;Altling;60;Warrior;Human;Male;3;Alt;Angebode-WildGrowth,Auslag-WildGrowth,Bedem-WildGrowth,Brunhiilde-WildGrowth,Grimmnok-WildGrowth,Heahmòund-WildGrowth,Heahmùnd-WildGrowth,Impurrfect-WildGrowth,Laclau-WildGrowth(main),Shortcomings-WildGrowth,Shortcumming-WildGrowth;04 Dec '25;05 Dec '25;Altling: 05 Dec '25,Imp: 04 Dec '25;;Laclau [Alc]/[Herb]300;Joined: 04 Dec '25;;Alliance
Bellerophon;Arch Fiendling;60;Warrior;Gnome;Male;0.46;Alt;Apollousa-WildGrowth(main),Cahir-WildGrowth,Hastalavista-WildGrowth,Illmindofapo-WildGrowth,Incorporeal-WildGrowth,Monotone-WildGrowth,Papagandhi-WildGrowth,Ratatat-WildGrowth;23 Nov '25;23 Nov '25;Arch Fiendling: 23 Nov '25,Imp: 23 Nov '25;;Bellon Musk [BS]/[Eng]300;Joined: 23 Nov '25;;Alliance
Belove;Void Knight;60;Druid;Night Elf;Female;24;Main;Hollymolle-WildGrowth,Lanadelprey-WildGrowth,Lubowa-WildGrowth,Merylsheep-WildGrowth,Tentacleport-WildGrowth,Unlockyou-WildGrowth;05 Jan '26;08 Mar '26;Void Knight: 08 Mar '26,Fel Reaver: 16 Jan '26,Imp: 05 Jan '26;;dommy main [Alc]/[Herb]300;Joined: 05 Jan '26;;Alliance
Bemily;Imp;55;Priest;Human;Female;220;Main;;30 Nov '25;31 Nov '25;Imp: 31 Nov '25;;main [Alc]278/[Herb]300;Joined: 30 Nov '25 ;;Alliance
Bianca;Imp;15;Hunter;Dwarf;Female;177;Main;;01 Feb '26;01 Feb '26;Imp: 01 Feb '26;;main, belongs to Wylder :D;Joined: 01 Feb '26 ;;Alliance
Birgér;Imp;60;Priest;Human;Female;2;Main;;09 Dec '25;09 Dec '25;Imp: 09 Dec '25;;main Friend Kiri [Alc]/[TL]300;Joined: 09 Dec '25;;Alliance
Bissah;Altling;60;Druid;Night Elf;Female;215;Alt;Pewpewpwepwe-WildGrowth,Searinglight-WildGrowth(main),Searingrogue-WildGrowth,Seethingdark-WildGrowth,Shreera-WildGrowth;21 Nov '25;21 Nov '25;Altling: 21 Nov '25,Imp: 21 Nov '25;;Searing [Alc]/[Herb]300;Joined: 21 Nov '25;;Alliance
Bjørneñbjørn;Imp;60;Druid;Night Elf;Male;36;Main;Lysstrålen-WildGrowth;02 Jan '26;02 Jan '26;Imp: 02 Jan '26;; [Eng]/[LW]300;Joined: 02 Jan '26;;Alliance
Bladecorn;Altling;60;Rogue;Gnome;Male;7;Alt;Arconteg-WildGrowth,Arkcorn-WildGrowth,Bearlins-WildGrowth,Dastyrlock-WildGrowth,Elkho-WildGrowth,Gnorumbras-WildGrowth,Resticlothy-WildGrowth,Spycorn-WildGrowth(main),Tankone-WildGrowth;24 Nov '25;24 Nov '25;Altling: 24 Nov '25,Imp: 24 Nov '25;;Spycorn;Joined: 24 Nov '25;;Alliance
Blastblast;Imp;60;Rogue;Gnome;Female;36;;;08 Apr '26;08 Apr '26;Imp: 08 Apr '26;; [Mine]/[Eng]300;Joined: 08 Apr '26 ;;Alliance
Blastbärchi;Altling;60;Mage;Gnome;Male;70;Alt;Knuddlbärchi-WildGrowth,Knûddlbärchi-WildGrowth(main),Schmübärchi-WildGrowth;16 May '26;16 May '26;Altling: 16 May '26,Imp: 15 May '26;;Knûddlbärchi;Joined: 16 May '26 ;;Alliance
Blazani;Fel Reaver;60;Warrior;Dwarf;Female;188;Main;;28 Nov '25;15 Dec '25;Fel Reaver: 15 Dec '25,Imp: 28 Nov '25;;main [Mine]/[BS]300;Joined: 28 Nov '25;;Alliance
Blooddogg;Altling;60;Warlock;Human;Female;252;Alt;Kadpri-WildGrowth,Kaduk-WildGrowth,Kadwar-WildGrowth(main);22 Nov '25;24 Nov '25;Altling: 24 Nov '25;;Kaduk [Skin]210/[TL]300;Joined: 22 Nov '25;;Alliance
Bluelion;Altling;60;Paladin;Human;Female;2;Alt;Bluepost-WildGrowth(main),Notu-WildGrowth;22 Nov '25;24 Nov '25;Altling: 24 Nov '25;;Bluepost [Alc]/[Eng]300;Joined: 22 Nov '25;;Alliance
Bluepost;Void Knight;60;Paladin;Human;Female;2;Main;Bluelion-WildGrowth,Notu-WildGrowth;24 Nov '25;24 Nov '25;Void Knight: 24 Nov '25,Imp: 24 Nov '25;;main chad [Eng]/[Mine]300;Joined: 24 Nov '25 ;;Alliance
Bluke;Imp;43;Warrior;Human;Male;44;;;20 May '26;20 May '26;Imp: 20 May '26;; [Mine]121/[BS]77;Joined: 20 May '26 ;;Alliance
Boldylocky;Imp;10;Warlock;Gnome;Male;35;;;05 Mar '26;05 Mar '26;Imp: 05 Mar '26;;;Joined: 05 Mar '26 ;;Alliance
Boliath;Altling;60;Hunter;Night Elf;Male;0.54;;;14 Feb '26;29 May '26;Altling: 29 May '26,Imp: 14 Feb '26;;Denz My dad is a chocolate man;Joined: 14 Feb '26 ;;Alliance
Bolmyr;Imp;60;Paladin;Dwarf;Male;5;Main;;11 Jan '26;11 Jan '26;Imp: 11 Jan '26;;main;Joined: 11 Jan '26;;Alliance
Bongsavut;Imp;60;Paladin;Dwarf;Male;0.96;;;30 Jun '26;30 Jun '26;Imp: 30 Jun '26;;Main character syndrome;Joined: 30 Jun '26 ;;Alliance
Boomrond;Arch Fiendling;60;Druid;Night Elf;Male;14;Alt;Boromoney-WildGrowth,Carnagebonk-WildGrowth,Divinrond-WildGrowth,Eviscerond-WildGrowth,Faraheal-WildGrowth,Healrond-WildGrowth(main),Irvdruid-WildGrowth,Irvh-WildGrowth,Irvmend-WildGrowth,Irvpal-WildGrowth,Mayhempots-WildGrowth,Meanrond-WildGrowth,Sarumancer-WildGrowth,Steelrond-WildGrowth,Wyverond-WildGrowth;06 Apr '26;06 Apr '26;Arch Fiendling: 06 Apr '26,Imp: 06 Apr '26;;Boobrond;Joined: 06 Apr '26 ;;Alliance
Bootybaee;Imp;2;Mage;Human;Female;8;;;02 Jul '26;02 Jul '26;Imp: 02 Jul '26;;Saintxvi bank alt;Joined: 02 Jul '26 ;;Alliance
Bootyy;Imp;56;Warlock;Gnome;Female;58;;;21 May '26;21 May '26;Imp: 21 May '26;;£50000 for advert here;Joined: 21 May '26 ;;Alliance
